Version; FileName ; Size;nr;nAuth; LOC_touched;LOC_Added; Max_locAdded;Avg_locAdded;Churn;MAX_Churn; AVG_Churn;ChgSetSize;Max_chgSetSize;Avg_chgSetSize;Buggy
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;211;5;5;255;243;224;19;231;231;19;218;4;2;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;541;4;4;704;645;585;12;586;586;12;141;3;1;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;333;5;5;414;390;365;17;366;366;17;180;4;2;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/WriteCallback.java;88;4;4;117;108;98;11;99;99;11;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;35;1;1;41;41;41;41;41;41;41;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;54;2;2;92;79;65;13;66;66;13;32;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;47;3;3;56;55;45;18;54;54;18;111;2;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;42;2;2;55;51;47;10;47;47;10;32;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;156;4;4;223;203;185;13;183;185;13;53;3;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;43;1;1;49;49;49;49;49;49;49;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;41;1;1;50;50;50;50;50;50;50;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;78;2;2;102;100;97;33;98;98;33;18;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;120;1;1;138;138;138;138;138;138;138;0;0;0;yes
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;35;1;1;43;43;43;43;43;43;43;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;35;1;1;42;42;42;42;42;42;42;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;50;1;1;56;56;56;56;56;56;56;0;0;0;yes
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;47;2;2;53;52;51;26;51;51;26;32;1;0;no
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;35;1;1;41;41;41;41;41;41;41;0;0;0;no
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;90;2;2;118;111;104;14;104;104;14;32;1;0;no
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;46;1;1;54;54;54;54;54;54;54;0;0;0;no
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;141;2;2;164;163;162;82;162;162;82;32;1;0;yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java;5842;2;2;18077;12222;6095;52;6367;6500;52;32;1;1;yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;123;2;2;157;155;153;52;153;153;52;32;1;0;no
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;37;1;1;43;43;43;43;43;43;43;0;0;0;yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;35;2;2;43;42;41;21;41;41;21;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;79;3;3;205;155;104;9;105;105;9;50;2;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;84;5;5;191;148;103;7;105;105;7;201;4;2;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;70;4;4;160;126;91;6;92;92;6;116;3;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;87;3;3;201;151;100;11;101;101;11;50;2;1;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;37;1;1;45;45;45;45;45;45;45;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;246;2;2;291;290;289;145;289;289;145;32;1;0;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;28;2;2;38;35;31;9;32;32;9;18;1;0;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;94;1;1;111;111;111;111;111;111;111;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;30;2;2;37;36;35;18;35;35;18;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;65;1;1;81;81;81;81;81;81;81;0;0;0;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;23;1;1;27;27;27;27;27;27;27;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;23;1;1;28;28;28;28;28;28;28;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;26;2;2;31;30;29;15;29;29;15;32;1;0;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;459;4;4;634;600;561;24;566;566;24;88;3;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;54;2;2;96;80;64;20;64;64;20;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;26;2;2;31;30;29;15;29;29;15;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;53;2;2;66;65;64;33;64;64;33;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;33;2;2;43;40;37;10;37;37;10;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;58;2;2;90;79;68;20;68;68;20;32;1;0;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;132;3;3;176;165;153;15;154;154;15;50;2;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;62;2;2;74;73;72;37;72;72;37;32;1;0;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;335;6;6;415;400;364;17;385;385;17;201;5;2;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;67;2;2;80;78;76;26;76;76;26;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;139;3;3;167;163;158;33;159;159;33;50;2;1;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;619;3;3;1035;886;736;19;737;737;19;50;2;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;64;2;2;78;76;74;25;74;74;25;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;78;3;3;100;97;93;24;94;94;24;50;2;1;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;21;1;1;22;22;22;22;22;22;22;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;357;3;3;451;439;426;34;427;427;34;50;2;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;49;1;1;62;62;62;62;62;62;62;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;50;2;2;60;59;58;30;58;58;30;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;82;2;2;101;96;91;16;91;91;16;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;26;2;2;29;28;27;14;27;27;14;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;67;2;2;81;79;77;26;77;77;26;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;583;3;3;780;742;703;27;704;704;27;50;2;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;55;2;2;71;67;63;17;63;63;17;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;32;1;1;37;37;37;37;37;37;37;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java;56;2;2;66;65;64;33;64;64;33;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java;98;2;2;130;127;124;32;124;124;32;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java;137;4;4;174;167;159;21;160;160;21;141;3;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java;30;2;2;46;41;36;8;36;36;8;32;1;0;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java;49;2;2;62;60;57;20;58;58;20;18;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java;52;1;1;62;62;62;62;62;62;62;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java;106;4;4;154;142;129;13;130;130;13;141;3;1;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java;63;2;2;78;76;73;25;74;74;25;18;1;0;yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java;72;3;3;89;86;82;22;83;83;22;50;2;1;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java;61;1;1;74;74;74;74;74;74;74;0;0;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java;42;2;2;52;50;48;17;48;48;17;91;1;1;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java;52;2;2;62;61;60;31;60;60;31;32;1;0;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java;62;3;3;82;76;70;11;70;70;11;123;2;1;no
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java;166;4;4;221;202;180;13;183;183;13;141;3;1;yes
